Name,Detail,Price,Brand,CPU_Type,RAM_GB,SSD_GB
Asus TUF Gaming A18 808UP-S9059W,"PC portable gamer 18"", AMD Ryzen 7 260, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS QHD+ 144 Hz, Windows 11, AZERTY",4799.95,asus,AMD Ryzen 7,32,1024
Asus TUF Gaming A18 808UP-S9077X,"PC portable gamer 18"", AMD Ryzen 7 260, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS QHD+ 144 Hz, Windows 11 Pro, AZERTY",4599.95,asus,AMD Ryzen 7,32,1024
Asus TUF Gaming F16 608JH-RV086X,"PC portable gamer, 16"", Intel Core i5-13450HX, RTX 5050, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+ 165 Hz, Windows 11 Pro, AZERTY",4799.95,asus,Intel Core i5,16,512
Asus TUF Gaming F16 608JMR-QT084X,"PC portable gamer 16"", Intel Core i7-14650HX, RTX 5060, RAM 32 Go, SSD 1 To, dalle IPS WQXGA 165 Hz, Windows 11 Pro, AZERTY",5999.95,asus,Intel Core i7,32,1024
Asus V16 V3607VH-RP039X,"PC portable, 16"", IPS, 1920 x 1200 (Full HD+), 16:10, 144 Hz, Core 7 240H, GeForce RTX 5050, RAM 16 Go, SSD 1 To, Windows 11 Pro, 1,95 kg, Clavier AZERTY Français",5999.95,asus,Intel Core i7,16,1024
ASUS V16 V3607VH-RP075,"PC portable 16"", Intel Core 5-210H, GeForce RTX 5050, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+ 144 Hz, Sans OS, AZERTY",5699.95,asus,Intel Core i5,16,512
ASUS V16 V3607VH-RP091W,"PC portable 16"", Intel Core 5 210H, GeForce RTX 5050, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+ 144 Hz, Windows 11, AZERTY",3599.99,asus,Intel Core i5,16,512
ASUS V16 V3607VM-PL076X,"PC portable gamer 16"", Intel Core 7 240H, RTX 5060, RAM 32 Go, SSD 1 To, dalle IPS QHD 144 Hz, Windows 11 Pro, AZERTY",2999.95,asus,Intel Core i7,32,1024
ASUS V16 V3607VM-RP080W,"PC portable gamer 16"", Intel Core 7 240H, RTX 5060, RAM 32 Go, SSD 1 To, dalle IPS Full HD 144 Hz, Windows 11, AZERTY",5699.95,asus,Intel Core i7,32,1024
ASUS V16 V3607VP-RP037WS,"PC portable gamer 16"", Intel Core 7 240H, RTX 5070, RAM 32 Go, SSD 1 To, dalle IPS Full HD 144 Hz, Windows 11, AZERTY",2249.95,asus,Intel Core i7,32,1024
