Name,Detail,Price
Asus Vivobook 18 M1807HA-S8028X,"PC portable 18"", AMD Ryzen 7 260, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+ 144 Hz, Windows 11, AZERTY",629€95
Asus Vivobook 18 M1807HA-S8076X,"PC portable 18"", AMD Ryzen 7 260, RAM 32 Go, SSD 1 To, dalle IPS Full HD+ 144 Hz, Windows 11 Pro, AZERTY",749€95
Asus Vivobook 18 M1807HA-S8116W,"PC portable 18"", AMD Ryzen 7 260, RAM 32 Go, SSD 1 To, dalle IPS Full HD+ 144 Hz, Windows 11, 2,60 kg, AZERTY",879€95
Asus Vivobook Go 15 P1504FA-BQ2443X,"PC portable 15.6"", AMD Ryzen 5 7520U, RAM 16 Go, SSD 512 Go, dalle TN Full HD, Windows 11 Pro, AZERTY",1 999€95
Asus Vivobook Pro 15 OLED N6506CU-MA001X,"PC portable 15.6"", Intel Core Ultra 7 255H, RTX 4050, RAM 24 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11 Pro, AZERTY",949€95
Asus Vivobook S 14 OLED M5406UA-QD093X,"PC portable 14"", AMD Ryzen 7 8845HS, RAM 16 Go, SSD 1 To, dalle OLED Full HD+, Windows 11 Pro, AZERTY",879€95
Asus Vivobook S 14 OLED M5406WA-PP068X,"PC portable 14"", AMD Ryzen AI 9 365, RAM 24 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11 Pro, AZERTY",949€95
Asus Vivobook S 14 OLED S5406KA-QD037W,"PC portable 14"", AMD Ryzen AI 7 350, RAM 16 Go, SSD 1 To, dalle OLED Full HD+, Windows 11, AZERTY",599€95
Asus Vivobook S 14 OLED S5406KA-QD109W,"PC portable 14"", AMD Ryzen AI 5 340, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",899€95
Asus Vivobook S 14 OLED S5406MA-QD020W,"PC portable 14"", Intel Core Ultra 7 155H, RAM 16 Go, SSD 1 To, dalle OLED Full HD+, Windows 11, AZERTY",749€95
Asus Vivobook S 14 OLED S5406NA-QD082W,"PC portable 14"", AMD Ryzen 5 7535HS, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",799€95
Asus Vivobook S 14 OLED S5406SA-QD004W,"PC portable 14"", Intel Core Ultra 5 226V, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",849€95
Asus Vivobook S 14 OLED S5406UA-PP003W,"PC portable 14"", AMD Ryzen 7 8845H, RAM 16 Go, SSD 1 To, dalle OLED WQXGA+ 120 Hz, Windows 11, AZERTY",999€95
Asus Vivobook S 15 Copilot+ PC S5507QA-MA007W,"PC portable 15.6"", Snapdragon X Plus X1P-42-100, RAM 16 Go, SSD 1 To, dalle OLED WQHD+ 120 Hz, Windows 11, AZERTY",649€95
Asus Vivobook S 15 Copilot+ PC S5507QA-MA064X,"PC portable 15.6"", Snapdragon Elite X1E-78-100, RAM 32 Go, SSD 1 To, dalle OLED WQHD+ 120 Hz, Windows 11 Pro, AZERTY",1 099€95
Asus Vivobook S 15 OLED Copilot+ PC S5507QA-MA006W,"PC portable 15.6"", Snapdragon X Elite X1E-78-100, RAM 16 Go, SSD 1 To, dalle OLED WQHD+ 120 Hz, Windows 11, AZERTY",759€95
Asus Vivobook S 15 OLED Copilot+ PC S5507QA-MA038X,"PC portable 15.6"", Snapdragon X Plus X1P-42-100, RAM 16 Go, SSD 512 Go, dalle OLED WQHD+ 120 Hz, Windows 11 Pro, AZERTY",1 099€95
ASUS Vivobook S14 M3407KA-SF012W,"PC portable 14"", AMD Ryzen 5 330, RAM 16 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",1 399€95
Asus Vivobook S14 S3407CA-LY048W,"PC portable 14"", Intel Core Ultra 7 255H, RAM 16 Go, SSD 512 Go, dalle IPS Full HD+, Windows 11, AZERTY",1 399€95
ASUS Vivobook S16 OLED M3607KA-SH026W,"PC portable 16"", AMD Ryzen AI 7 350, RAM 32 Go, SSD 512 Go, dalle OLED Full HD+, Windows 11, AZERTY",749€95
